Subject,Start Date,Start Time,End Date,End Time,Description
Financial Management for Healthcare Organizations,06/10/2025,09:45,06/10/2025,11:15,Prof. Molla Ramizur Rahman
Operations Management: Healthcare Perspective,06/10/2025,11:30,06/10/2025,13:00,Prof. Ajith Tom James
Sustainable Development Practices in Healthcare,06/10/2025,14:00,06/10/2025,15:30,Prof. Sreelekha Mishra
Healthcare Management Information System,06/10/2025,15:45,06/10/2025,17:15,Prof. Charu Naithani
Patient-Centric Healthcare Service Delivery,07/10/2025,09:45,07/10/2025,11:15,Prof. Swapnarag Swain
Human Resource Mangement for Healthcare,07/10/2025,11:30,07/10/2025,13:00,Prof. Vittal Rangan S
Health Economics,07/10/2025,14:00,07/10/2025,15:30,Prof. Madhumita Das
Healthcare Quality Management,07/10/2025,15:45,07/10/2025,17:15,Prof. Suryakant Kumar
Operations Management: Healthcare Perspective,08/10/2025,09:45,08/10/2025,11:15,Prof. Ajith Tom James
Sustainable Development Practices in Healthcare,08/10/2025,11:30,08/10/2025,13:00,Prof. Sreelekha Mishra
Financial Management for Healthcare Organizations,08/10/2025,14:00,08/10/2025,15:30,Prof. Molla Ramizur Rahman
Healthcare Management Information System,08/10/2025,15:45,08/10/2025,17:15,Prof. Charu Naithani
Health Economics,09/10/2025,09:45,09/10/2025,11:15,Prof. Madhumita Das
Human Resource Mangement for Healthcare,09/10/2025,11:30,09/10/2025,13:00,Prof. Vittal Rangan S
Healthcare Quality Management,09/10/2025,14:00,09/10/2025,15:30,Prof. Suryakant Kumar
Patient-Centric Healthcare Service Delivery,09/10/2025,15:45,09/10/2025,17:15,Prof. Swapnarag Swain
Financial Management for Healthcare Organizations,10/10/2025,09:45,10/10/2025,11:15,Prof. Molla Ramizur Rahman
Sustainable Development Practices in Healthcare,10/10/2025,11:30,10/10/2025,13:00,Prof. Sreelekha Mishra
Healthcare Management Information System,10/10/2025,14:00,10/10/2025,15:30,Prof. Charu Naithani
Operations Management: Healthcare Perspective,10/10/2025,15:45,10/10/2025,17:15,Prof. Ajith Tom James
Patient-Centric Healthcare Service Delivery,13/10/2025,09:45,13/10/2025,11:15,Prof. Swapnarag Swain
Operations Management: Healthcare Perspective,13/10/2025,11:30,13/10/2025,13:00,Prof. Ajith Tom James
Healthcare Management Information System,13/10/2025,14:00,13/10/2025,15:30,Prof. Charu Naithani
Financial Management for Healthcare Organizations,13/10/2025,15:45,13/10/2025,17:15,Prof. Molla Ramizur Rahman
Health Economics,14/10/2025,09:45,14/10/2025,11:15,Prof. Madhumita Das
Healthcare Quality Management,14/10/2025,11:30,14/10/2025,13:00,Prof. Suryakant Kumar
Sustainable Development Practices in Healthcare,14/10/2025,14:00,14/10/2025,15:30,Prof. Sreelekha Mishra
Human Resource Mangement for Healthcare,14/10/2025,15:45,14/10/2025,17:15,Prof. Vittal Rangan S
