Subject,Start Date,Start Time,End Date,End Time,Description
Fundamentals of Operations Management,06/10/2025,09:30,06/10/2025,11:00,Prof. Sunanda Katewa
Operations Research,06/10/2025,11:15,06/10/2025,12:45,Prof. Prabhat Ranjan
Business Communication,06/10/2025,13:45,06/10/2025,15:15,Prof. Sanjay Kaushal
Advanced Marketing Management,07/10/2025,09:30,07/10/2025,11:00,Prof. Pradeep Kumar
Corporate Finance for Decision Making,07/10/2025,11:15,07/10/2025,12:45,Prof. Molla Ramizur Rahman
Introduction to R and Python,07/10/2025,15:30,07/10/2025,17:00,Prof. Samant Saurabh
Industry 4.O: Strategic Initiatives and Decision Making,08/10/2025,09:30,08/10/2025,11:00,Prof. Deepika R Gupta
Operations Research,08/10/2025,11:15,08/10/2025,12:45,Prof. Prabhat Ranjan
Fundamentals of Operations Management,08/10/2025,13:45,08/10/2025,15:15,Prof. Sunanda Katewa
Business Communication,08/10/2025,15:30,08/10/2025,17:00,Prof. Sanjay Kaushal
Advanced Marketing Management,09/10/2025,09:30,09/10/2025,11:00,Prof. Pradeep Kumar
Corporate Finance for Decision Making,09/10/2025,11:15,09/10/2025,12:45,Prof. Molla Ramizur Rahman
Introduction to R and Python,09/10/2025,13:45,09/10/2025,15:15,Prof. Samant Saurabh
Operations Research,10/10/2025,09:30,10/10/2025,11:00,Prof. Prabhat Ranjan
Business Communication,10/10/2025,11:15,10/10/2025,12:45,Prof. Sanjay Kaushal
Fundamentals of Operations Management,10/10/2025,13:45,10/10/2025,15:15,Prof. Sunanda Katewa
Industry 4.O: Strategic Initiatives and Decision Making,10/10/2025,15:30,10/10/2025,17:00,Prof. Deepika R Gupta
Operations Research,13/10/2025,09:30,13/10/2025,11:00,Prof. Prabhat Ranjan
Corporate Finance for Decision Making,13/10/2025,11:15,13/10/2025,12:45,Prof. Molla Ramizur Rahman
Fundamentals of Operations Management,13/10/2025,13:45,13/10/2025,15:15,Prof. Sunanda Katewa
Introduction to R and Python,13/10/2025,15:30,13/10/2025,17:00,Prof. Samant Saurabh
Industry 4.O: Strategic Initiatives and Decision Making,14/10/2025,09:30,14/10/2025,11:00,Prof. Deepika R Gupta
Advanced Marketing Management,14/10/2025,11:15,14/10/2025,12:45,Prof. Pradeep Kumar
Operations Research,14/10/2025,15:30,14/10/2025,17:00,Prof. Prabhat Ranjan
Fundamentals of Operations Management,15/10/2025,11:15,15/10/2025,12:45,Prof. Sunanda Katewa
Corporate Finance for Decision Making,15/10/2025,13:45,15/10/2025,15:15,Prof. Molla Ramizur Rahman
Introduction to R and Python,15/10/2025,15:30,15/10/2025,17:00,Prof. Samant Saurabh
Operations Research,16/10/2025,11:15,16/10/2025,12:45,Prof. Prabhat Ranjan
Industry 4.O: Strategic Initiatives and Decision Making,16/10/2025,13:45,16/10/2025,15:15,Prof. Deepika R Gupta
Business Communication,16/10/2025,15:30,16/10/2025,17:00,Prof. Sanjay Kaushal
Corporate Finance for Decision Making,17/10/2025,09:30,17/10/2025,11:00,Prof. Molla Ramizur Rahman
Fundamentals of Operations Management,17/10/2025,11:15,17/10/2025,12:45,Prof. Sunanda Katewa
Introduction to R and Python,17/10/2025,13:45,17/10/2025,15:15,Prof. Samant Saurabh
DIWALI,20/10/2025,09:30,20/10/2025,11:00,nan
Introduction to R and Python,21/10/2025,09:30,21/10/2025,11:00,Prof. Samant Saurabh
Industry 4.O: Strategic Initiatives and Decision Making,21/10/2025,11:15,21/10/2025,12:45,Prof. Deepika R Gupta
Advanced Marketing Management,21/10/2025,13:45,21/10/2025,15:15,Prof. Pradeep Kumar
Business Communication,22/10/2025,09:30,22/10/2025,11:00,Prof. Sanjay Kaushal
Corporate Finance for Decision Making,22/10/2025,11:15,22/10/2025,12:45,Prof. Molla Ramizur Rahman
Business Communication,22/10/2025,15:30,22/10/2025,17:00,Prof. Sanjay Kaushal
